World Rank	Institution	Location	National Rank	Education Rank	Employability Rank	Faculty Rank	Research Rank	Score
856	University of California, Merced	USA	193	-	-	-	815	71.1
857	Old Dominion University	USA	194	-	-	-	816	71.1
858	Shandong First Medical University & Shandong Academy of Medical Sciences	China	122	-	-	-	817	71.1
859	University of Brasília	Brazil	12	-	1089	-	819	71.1
860	Sorbonne Paris Nord University	France	36	-	-	-	818	71.1
861	Northumbria University	United Kingdom	54	-	839	-	824	71.1
862	City, University of London	United Kingdom	55	523	548	-	835	71.1
863	Federal University of Pernambuco	Brazil	13	-	1222	-	821	71.1
864	Peter the Great St. Petersburg Polytechnic University	Russia	14	504	926	-	827	71.1
865	Brazilian Center for Research in Physics (CBPF)	Brazil	14	-	-	-	820	71.1
866	Getúlio Vargas Foundation	Brazil	15	-	34	-	-	71.1
867	University of Brighton	United Kingdom	56	-	-	-	822	71.1
868	Anhui Medical University	China	123	-	-	-	823	71.1
869	China Pharmaceutical University	China	124	-	1125	-	826	71.1
870	London Business School	United Kingdom	57	-	51	-	1654	71.1
871	Federico Santa María Technical University	Chile	4	-	1073	-	829	71.0
872	Uniformed Services University of the Health Sciences	USA	195	-	-	-	828	71.0
873	University of Tours	France	37	158	-	-	866	71.0
874	Aberystwyth University	United Kingdom	58	-	868	215	981	71.0
875	Ivane Javakhishvili Tbilisi State University	Georgia	1	-	-	-	831	71.0
876	Qingdao University of Science and Technology	China	125	-	1248	-	832	71.0
877	University of Portsmouth	United Kingdom	59	-	1138	-	834	71.0
878	Benemérita Autonomous University of Puebla	Mexico	4	-	-	-	833	71.0
879	Guangzhou University	China	126	-	952	-	841	71.0
880	North-West University	South Africa	7	-	-	-	837	71.0
881	University of Orléans	France	38	-	1566	-	838	71.0
882	University of Insubria	Italy	45	-	-	-	840	71.0
883	Wesleyan University	USA	196	-	55	-	1577	71.0
884	Shandong Agricultural University	China	127	-	-	-	842	71.0
885	Banaras Hindu University	India	13	321	684	-	860	71.0
886	Nanjing Forestry University	China	128	-	-	-	844	70.9
887	Shizuoka University	Japan	32	-	1041	102	1313	70.9
888	Taiyuan University of Technology	China	129	-	1341	-	845	70.9
889	Fujian Agriculture and Forestry University	China	130	-	-	-	846	70.9
890	Zhejiang Normal University	China	131	-	-	-	848	70.9
891	L.D. Landau Institute for Theoretical Physics of the Russian Academy of Sciences	Russia	15	35	-	214	-	70.9
892	Ege University	Turkey	7	-	-	-	849	70.9
893	New Mexico State University	USA	197	461	680	-	865	70.9
894	University of Mons	Belgium	9	-	-	-	850	70.9
895	Babeș-Bolyai University	Romania	1	-	-	-	852	70.9
896	Jaume I University	Spain	31	-	-	-	853	70.9
897	University of Shanghai for Science and Technology	China	132	-	-	-	854	70.9
898	Meijo University	Japan	33	-	-	33	-	70.9
899	All India Institute of Medical Sciences, New Delhi	India	14	-	-	-	856	70.9
